SEASON YEAR,WEEK,TEST ID,BLOCK,TRAP,TRAP_TYPE,TEST DATE,NUMBER OF MOSQUITOES,RESULT,SPECIES,LATITUDE,LONGITUDE,LOCATION
2009,35,27960,37XX E 118TH ST,T212,GRAVID,09/03/2009 12:09:00 AM,1,negative,CULEX RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2014,25,38192,127XX S DOTY AVE,T115,GRAVID,06/19/2014 12:06:00 AM,27,positive,CULEX RESTUANS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2011,27,31259,11XX S CALIFORNIA AVE,T047,GRAVID,07/11/2011 12:07:00 AM,16,negative,CULEX PIPIENS/RESTUANS,41.867599254,-87.695785443,"(41.86759925367238, -87.69578544257037)"
2015,31,41553,119XX S ASHLAND AVE,T090,GRAVID,08/06/2015 12:08:00 AM,1,negative,CULEX RESTUANS,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2011,35,32434,100XX W OHARE AIRPORT,T902,GRAVID,09/02/2011 12:09:00 AM,1,negative,CULEX PIPIENS,,,
2012,31,34355,131XX S BRANDON AVE,T209,GRAVID,08/03/2012 12:08:00 AM,4,negative,CULEX PIPIENS/RESTUANS,41.657068876,-87.546048865,"(41.657068875649955, -87.54604886505916)"
2009,37,28142,61XX N LEMONT AVE,T012,GRAVID,09/17/2009 12:09:00 AM,2,negative,CULEX RESTUANS,41.993564362,-87.745420387,"(41.99356436155678, -87.74542038704298)"
2015,34,41956,82XX S KOSTNER AVE,T225,GRAVID,08/26/2015 12:08:00 AM,7,positive,CULEX PIPIENS/RESTUANS,41.742670478,-87.731550059,"(41.7426704781299, -87.73155005887604)"
2012,36,35050,67XX S KEDZIE AVE,T066,GRAVID,09/10/2012 12:09:00 AM,3,negative,CULEX RESTUANS,41.771198588,-87.703106608,"(41.77119858797388, -87.70310660774493)"
2009,30,27486,39XX S ASHLAND AVE,T074,GRAVID,07/31/2009 12:07:00 AM,8,negative,CULEX PIPIENS/RESTUANS,41.820858508,-87.665108095,"(41.82085850772701, -87.66510809467968)"
2008,30,24833,17XX W 95TH ST,T094,GRAVID,07/28/2008 12:07:00 AM,3,negative,CULEX RESTUANS,41.7212875,-87.665235702,"(41.72128749967918, -87.66523570170051)"
2013,30,36430,6XX W MONTROSE DR,T017,GRAVID,07/25/2013 12:07:00 AM,7,negative,CULEX PIPIENS/RESTUANS,41.962014638,-87.646847726,"(41.96201463828783, -87.64684772570871)"
2016,29,42931,25XX W GRAND AVE,T046,GRAVID,07/21/2016 12:07:00 AM,14,negative,CULEX PIPIENS,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2011,28,31495,127XX S DOTY AVE,T115,GRAVID,07/15/2011 12:07:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2014,37,40213,35XX W 51ST ST,T062,GRAVID,09/11/2014 12:09:00 AM,4,negative,CULEX RESTUANS,41.800597087,-87.711730345,"(41.8005970872007, -87.7117303452467)"
2007,37,23416,46XX N MILWAUKEE AVE,T003,GRAVID,09/18/2007 12:09:00 AM,4,negative,CULEX PIPIENS/RESTUANS,41.965374859,-87.758411715,"(41.96537485879688, -87.75841171521544)"
2012,27,33290,70XX N MOSELLE AVE,T008,GRAVID,07/09/2012 12:07:00 AM,50,negative,CULEX PIPIENS/RESTUANS,42.007997503,-87.778234965,"(42.007997503125345, -87.77823496507851)"
2014,35,39822,36XX N PITTSBURGH AVE,T011,GRAVID,08/28/2014 12:08:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.945961094,-87.832942473,"(41.94596109447193, -87.83294247349616)"
2012,32,34406,41XX N OAK PARK AVE,T002,GRAVID,08/09/2012 12:08:00 AM,45,positive,CULEX PIPIENS/RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2007,36,23318,2XX W 89TH ST,T096,CDC,09/12/2007 12:09:00 AM,4,negative,CULEX PIPIENS/RESTUANS,41.732428064,-87.63105648,"(41.73242806400838, -87.63105648014084)"
2009,38,28329,17XX W 95TH ST,T094,GRAVID,09/25/2009 12:09:00 AM,1,negative,CULEX PIPIENS,41.7212875,-87.665235702,"(41.72128749967918, -87.66523570170051)"
2009,31,27668,24XX E 105TH ST,T128,GRAVID,08/07/2009 12:08:00 AM,1,negative,CULEX PIPIENS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2015,25,40880,37XX S PULASKI RD,T063,GRAVID,06/25/2015 12:06:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.825398256,-87.723962137,"(41.82539825646484, -87.72396213667864)"
2012,35,34880,51XX N MONT CLARE AVE,T223,GRAVID,08/30/2012 12:08:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.974522761,-87.80458947,"(41.974522761157274, -87.80458946950488)"
2008,27,24464,39XX S ASHLAND AVE,T074,GRAVID,07/04/2008 12:07:00 AM,6,negative,CULEX RESTUANS,41.820858508,-87.665108095,"(41.82085850772701, -87.66510809467968)"
2013,38,37738,5XX W 72ND ST,T035,GRAVID,09/19/2013 12:09:00 AM,1,negative,CULEX PIPIENS,41.763370922,-87.637872614,"(41.76337092198238, -87.6378726141474)"
2015,25,40890,5XX W 72ND ST,T035,GRAVID,06/25/2015 12:06:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.763370922,-87.637872614,"(41.76337092198238, -87.6378726141474)"
2009,24,26556,101XX S STONY ISLAND AVE,T138,GRAVID,06/19/2009 12:06:00 AM,1,negative,CULEX RESTUANS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2010,36,30468,100XX W OHARE AIRPORT,T913,GRAVID,09/13/2010 12:09:00 AM,7,negative,CULEX PIPIENS,,,
2007,28,20795,81XX S ASHLAND,T068,GRAVID,08/01/2007 02:08:34 AM,1,negative,CULEX PIPIENS,,,
2015,23,40747,70XX W ARMITAGE AVE,T151,GRAVID,06/11/2015 12:06:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2014,35,39920,77XX S EBERHART AVE,T080,GRAVID,08/28/2014 12:08:00 AM,49,negative,CULEX PIPIENS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2007,31,21664,30XX S HOYNE,T035,GRAVID,08/07/2007 12:08:00 AM,4,negative,CULEX PIPIENS/RESTUANS,,,
2014,31,38942,14XX N HUMBOLDT DR,T033,GRAVID,07/31/2014 12:07:00 AM,27,negative,CULEX RESTUANS,41.907284873,-87.701394637,"(41.90728487283588, -87.701394636759)"
2013,34,37249,100XX W OHARE AIRPORT,T906,GRAVID,08/22/2013 12:08:00 AM,6,positive,CULEX PIPIENS,,,
2014,32,39234,17XX W 95TH ST,T094,GRAVID,08/07/2014 12:08:00 AM,38,negative,CULEX PIPIENS/RESTUANS,41.7212875,-87.665235702,"(41.72128749967918, -87.66523570170051)"
2007,31,21656,1XX N CENTRAL PARK DR,T030,CDC,08/07/2007 12:08:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.883771777,-87.716168365,"(41.8837717767951, -87.71616836510131)"
2013,39,37862,70XX N MOSELLE AVE,T008,GRAVID,09/26/2013 12:09:00 AM,10,negative,CULEX PIPIENS/RESTUANS,42.007997503,-87.778234965,"(42.007997503125345, -87.77823496507851)"
2015,31,41551,104XX S VINCENNES AVE,T089,GRAVID,08/06/2015 12:08:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2007,24,20308,96XX S HOYNE AVE,T161,GRAVID,06/26/2007 04:06:58 AM,5,negative,CULEX RESTUANS,41.718171022,-87.674858823,"(41.71817102244511, -87.67485882342494)"
2009,38,28282,70XX W ARMITAGE AVE,T151,GRAVID,09/25/2009 12:09:00 AM,2,negative,CULEX PIPIENS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2009,37,28157,11XX S CALIFORNIA AVE,T047,GRAVID,09/17/2009 12:09:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.867599254,-87.695785443,"(41.86759925367238, -87.69578544257037)"
2009,34,27920,131XX S BRANDON AVE,T209,GRAVID,08/27/2009 12:08:00 AM,14,negative,CULEX PIPIENS/RESTUANS,41.657068876,-87.546048865,"(41.657068875649955, -87.54604886505916)"
2009,23,26506,4XX W 127TH,T135,GRAVID,06/12/2009 12:06:00 AM,45,negative,CULEX PIPIENS/RESTUANS,,,
2016,30,43132,79XX S CHICAGO,T083,GRAVID,07/27/2016 12:07:00 AM,1,negative,CULEX TERRITANS,,,
2008,29,24722,4XX E 130TH ST,T221,GRAVID,07/24/2008 12:07:00 AM,16,negative,CULEX RESTUANS,41.659236018,-87.612015128,"(41.65923601846575, -87.61201512813366)"
2007,32,22281,101XX S STONY ISLAND AVE,T138,CDC,08/17/2007 12:08:00 AM,50,negative,CULEX PIPIENS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2012,28,33558,70XX W ARMITAGE AVE,T151,GRAVID,07/13/2012 12:07:00 AM,50,positive,CULEX PIPIENS/RESTUANS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2007,24,20305,4XX W 127TH,T135,CDC,06/26/2007 04:06:08 AM,20,negative,CULEX PIPIENS/RESTUANS,,,
2009,35,28000,100XX W OHARE AIRPORT,T916,GRAVID,09/03/2009 12:09:00 AM,5,positive,CULEX RESTUANS,,,
2014,35,39799,101XX S STONY ISLAND AVE,T138,GRAVID,08/28/2014 12:08:00 AM,29,negative,CULEX PIPIENS/RESTUANS,41.710542402,-87.584558933,"(41.71054240215372, -87.58455893336821)"
2014,32,39251,109XX S COTTAGE GROVE AVE,T102,GRAVID,08/07/2014 12:08:00 AM,5,negative,CULEX PIPIENS,41.69549407,-87.609081766,"(41.695494070048184, -87.60908176561364)"
2015,30,41498,100XX W OHARE AIRPORT,T913,GRAVID,07/30/2015 12:07:00 AM,50,negative,CULEX PIPIENS/RESTUANS,,,
2007,37,23564,24XX E 105TH ST,T128,CDC,09/19/2007 12:09:00 AM,5,negative,CULEX PIPIENS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2007,27,20644,79XX S CHICAGO,T083,GRAVID,07/11/2007 03:07:33 AM,7,negative,CULEX RESTUANS,,,
2012,24,32971,58XX N PULASKI RD,T027,GRAVID,06/15/2012 12:06:00 AM,1,negative,CULEX RESTUANS,41.986319851,-87.728378456,"(41.986319851449004, -87.72837845617912)"
2011,37,32663,22XX W 51ST ST,T061,GRAVID,09/16/2011 12:09:00 AM,5,negative,CULEX RESTUANS,41.801047857,-87.680424734,"(41.80104785720396, -87.68042473369341)"
2009,29,27340,89XX S CARPENTER ST,T159,GRAVID,07/27/2009 12:07:00 AM,1,negative,CULEX PIPIENS,41.731446858,-87.649722253,"(41.73144685817715, -87.64972225277589)"
2007,39,23857,27XX S WESTERN AVE,T034,GRAVID,10/04/2007 12:10:00 AM,4,negative,CULEX PIPIENS,41.841684181,-87.685148736,"(41.841684180933214, -87.6851487363558)"
2015,37,42256,70XX W ARMITAGE AVE,T151,GRAVID,09/17/2015 12:09:00 AM,1,negative,CULEX PIPIENS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2011,29,31569,36XX N PITTSBURGH AVE,T011,GRAVID,07/25/2011 12:07:00 AM,37,negative,CULEX PIPIENS/RESTUANS,41.945961094,-87.832942473,"(41.94596109447193, -87.83294247349616)"
2016,30,43035,104XX S VINCENNES AVE,T089,GRAVID,07/27/2016 12:07:00 AM,50,positive,CULEX PIPIENS/RESTUANS,41.704338415,-87.657084272,"(41.70433841525342, -87.65708427193195)"
2010,33,29940,52XX S KOLMAR AVE,T114,GRAVID,08/19/2010 12:08:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.798210726,-87.736924963,"(41.79821072626856, -87.73692496319906)"
2007,31,21848,24XX E 105TH ST,T128,CDC,08/08/2007 12:08:00 AM,50,negative,CULEX PIPIENS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2015,28,41170,82XX S KOSTNER AVE,T225,GRAVID,07/16/2015 12:07:00 AM,6,negative,CULEX PIPIENS/RESTUANS,41.742670478,-87.731550059,"(41.7426704781299, -87.73155005887604)"
2007,33,22561,122XX S STONY ISLAND AVE,T104,GRAVID,08/22/2007 12:08:00 AM,13,negative,CULEX PIPIENS,41.672376176,-87.575477377,"(41.67237617579695, -87.57547737657654)"
2014,37,40271,24XX E 105TH ST,T128,GRAVID,09/11/2014 12:09:00 AM,16,negative,CULEX PIPIENS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2015,28,41237,39XX N SPRINGFIELD AVE,T228,GRAVID,07/16/2015 12:07:00 AM,46,negative,CULEX RESTUANS,41.953664152,-87.724987191,"(41.95366415238544, -87.72498719138876)"
2015,38,42278,25XX S MILLARD AVE,T152,GRAVID,09/23/2015 12:09:00 AM,1,negative,CULEX PIPIENS,41.845715402,-87.715898597,"(41.845715401799, -87.7158985974353)"
2007,34,22905,127XX S DOTY AVE,T115,CDC,08/28/2007 12:08:00 AM,50,negative,CULEX PIPIENS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2011,30,31841,77XX S EBERHART AVE,T080,GRAVID,07/29/2011 12:07:00 AM,3,negative,CULEX PIPIENS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2009,30,27480,82XX S KOSTNER AVE,T225,GRAVID,07/31/2009 12:07:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.742670478,-87.731550059,"(41.7426704781299, -87.73155005887604)"
2015,27,41127,100XX W OHARE AIRPORT,T902,GRAVID,07/09/2015 12:07:00 AM,50,negative,CULEX RESTUANS,,,
2014,24,38078,82XX S KOSTNER AVE,T225,GRAVID,06/12/2014 12:06:00 AM,28,negative,CULEX RESTUANS,41.742670478,-87.731550059,"(41.7426704781299, -87.73155005887604)"
2007,32,22150,96XX S HOYNE AVE,T161,GRAVID,08/15/2007 12:08:00 AM,4,negative,CULEX PIPIENS,41.718171022,-87.674858823,"(41.71817102244511, -87.67485882342494)"
2012,28,33561,70XX W ARMITAGE AVE,T151,GRAVID,07/13/2012 12:07:00 AM,50,positive,CULEX PIPIENS/RESTUANS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2013,23,35543,100XX W OHARE AIRPORT,T906,GRAVID,06/07/2013 12:06:00 AM,29,negative,CULEX RESTUANS,,,
2007,30,21581,37XX E 118TH ST,T212,GRAVID,08/02/2007 12:08:00 AM,1,negative,CULEX RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2014,32,39159,5XX S CENTRAL AVE,T031,GRAVID,08/07/2014 12:08:00 AM,17,negative,CULEX PIPIENS,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)"
2012,24,33037,100XX W OHARE,T903,GRAVID,06/15/2012 12:06:00 AM,19,negative,CULEX RESTUANS,,,
2007,39,23839,28XX N FRANCISCO AVE,T147,GRAVID,10/04/2007 12:10:00 AM,1,negative,CULEX PIPIENS,41.93279021,-87.700237884,"(41.93279020985206, -87.7002378838387)"
2007,30,21427,22XX W 69TH ST,T069,GRAVID,08/01/2007 02:08:23 AM,13,negative,CULEX PIPIENS/RESTUANS,41.768485667,-87.679463428,"(41.768485667016584, -87.67946342813606)"
2011,38,32770,67XX S KEDZIE AVE,T066,GRAVID,09/23/2011 12:09:00 AM,4,negative,CULEX RESTUANS,41.771198588,-87.703106608,"(41.77119858797388, -87.70310660774493)"
2010,27,28789,41XX N OAK PARK AVE,T002,GRAVID,07/13/2010 12:07:00 AM,50,negative,CULEX PIPIENS/RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2009,23,26538,100XX W OHARE AIRPORT,T916,GRAVID,06/15/2009 12:06:00 AM,8,negative,CULEX RESTUANS,,,
2013,28,36214,79XX S CHICAGO,T083,GRAVID,07/12/2013 12:07:00 AM,9,negative,CULEX RESTUANS,,,
2007,29,21032,58XX N PULASKI RD,T027,CDC,08/01/2007 02:08:53 AM,1,negative,CULEX RESTUANS,41.986319851,-87.728378456,"(41.986319851449004, -87.72837845617912)"
2010,33,29901,61XX W FULLERTON AVE,T013,GRAVID,08/19/2010 12:08:00 AM,3,positive,CULEX RESTUANS,41.923887364,-87.778909912,"(41.92388736426867, -87.77890991205359)"
2007,33,22574,127XX S DOTY AVE,T115,CDC,08/22/2007 12:08:00 AM,50,negative,CULEX PIPIENS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2007,29,21198,127XX S DOTY AVE,T115,CDC,07/25/2007 12:07:00 AM,50,negative,CULEX PIPIENS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2014,31,39062,37XX E 118TH ST,T212,GRAVID,07/31/2014 12:07:00 AM,16,negative,CULEX PIPIENS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2015,23,40767,100XX W OHARE AIRPORT,T923,GRAVID,06/11/2015 12:06:00 AM,35,negative,CULEX PIPIENS/RESTUANS,,,
2011,33,32140,61XX W FULLERTON AVE,T013,GRAVID,08/19/2011 12:08:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.923887364,-87.778909912,"(41.92388736426867, -87.77890991205359)"
2009,29,27401,100XX W OHARE AIRPORT,T918,GRAVID,07/27/2009 12:07:00 AM,50,negative,CULEX PIPIENS/RESTUANS,,,
2015,33,41846,61XX N LEMONT AVE,T012,GRAVID,08/19/2015 12:08:00 AM,5,negative,CULEX PIPIENS/RESTUANS,41.993564362,-87.745420387,"(41.99356436155678, -87.74542038704298)"
2012,38,35282,24XX E 105TH ST,T128,GRAVID,09/20/2012 12:09:00 AM,1,negative,CULEX PIPIENS,41.704687214,-87.564235562,"(41.704687213624375, -87.5642355621286)"
2015,33,41824,1XX N CENTRAL PARK DR,T030,GRAVID,08/19/2015 12:08:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.883771777,-87.716168365,"(41.8837717767951, -87.71616836510131)"
2013,31,36687,119XX S ASHLAND AVE,T090,GRAVID,08/01/2013 12:08:00 AM,6,negative,CULEX RESTUANS,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2013,25,35794,100XX W OHARE AIRPORT,T905,GRAVID,06/21/2013 12:06:00 AM,5,negative,CULEX RESTUANS,,,
2012,30,34102,119XX S ASHLAND AVE,T090,GRAVID,07/27/2012 12:07:00 AM,11,positive,CULEX PIPIENS/RESTUANS,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2007,32,21931,79XX W FOSTER AVE,T015,GRAVID,08/15/2007 12:08:00 AM,11,positive,CULEX PIPIENS,41.974182874,-87.825240931,"(41.97418287382103, -87.82524093078898)"
2007,34,22809,55XX S DR MARTIN LUTHER KING JR DR,T076,CDC,08/24/2007 12:08:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.793951807,-87.615811705,"(41.793951806707, -87.61581170480557)"
2015,32,41769,37XX E 118TH ST,T212,GRAVID,08/13/2015 12:08:00 AM,6,negative,CULEX PIPIENS/RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2014,38,40331,51XX N MONT CLARE AVE,T223,GRAVID,09/18/2014 12:09:00 AM,16,positive,CULEX PIPIENS,41.974522761,-87.80458947,"(41.974522761157274, -87.80458946950488)"
2010,32,29683,91XX W HIGGINS RD,T009,GRAVID,08/13/2010 12:08:00 AM,1,negative,CULEX RESTUANS,41.988586396,-87.854473351,"(41.988586396324166, -87.85447335120561)"
2010,30,29373,70XX N MOSELLE AVE,T008,GRAVID,07/29/2010 12:07:00 AM,1,negative,CULEX RESTUANS,42.007997503,-87.778234965,"(42.007997503125345, -87.77823496507851)"
2015,27,41099,70XX W ARMITAGE AVE,T151,GRAVID,07/09/2015 12:07:00 AM,43,negative,CULEX RESTUANS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2008,31,25001,40XX S DEARBORN ST,T081,GRAVID,08/04/2008 12:08:00 AM,3,negative,CULEX PIPIENS/RESTUANS,41.820051649,-87.627347571,"(41.820051649277865, -87.62734757080052)"
2015,36,42148,17XX W 95TH ST,T094,GRAVID,09/10/2015 12:09:00 AM,2,negative,CULEX RESTUANS,41.7212875,-87.665235702,"(41.72128749967918, -87.66523570170051)"
2010,24,28497,61XX N LEMONT AVE,T012,GRAVID,06/18/2010 12:06:00 AM,3,negative,CULEX RESTUANS,41.993564362,-87.745420387,"(41.99356436155678, -87.74542038704298)"
2009,29,27338,119XX S ASHLAND AVE,T090,GRAVID,07/27/2009 12:07:00 AM,35,negative,CULEX PIPIENS/RESTUANS,41.676887316,-87.661221926,"(41.67688731618708, -87.66122192616795)"
2011,24,30912,22XX W 51ST ST,T061,GRAVID,06/17/2011 12:06:00 AM,2,negative,CULEX RESTUANS,41.801047857,-87.680424734,"(41.80104785720396, -87.68042473369341)"
2009,26,26852,11XX W CHICAGO AVE,T049,GRAVID,07/06/2009 12:07:00 AM,3,negative,CULEX RESTUANS,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2013,37,37554,100XX W OHARE AIRPORT,T912,GRAVID,09/12/2013 12:09:00 AM,42,negative,CULEX PIPIENS/RESTUANS,,,
2013,32,36752,109XX S COTTAGE GROVE AVE,T102,GRAVID,08/08/2013 12:08:00 AM,7,negative,CULEX PIPIENS/RESTUANS,41.69549407,-87.609081766,"(41.695494070048184, -87.60908176561364)"
2011,24,30979,37XX E 118TH ST,T212,GRAVID,06/17/2011 12:06:00 AM,9,negative,CULEX RESTUANS,41.681034931,-87.533436467,"(41.681034931122895, -87.53343646731054)"
2015,35,42076,5XX W 72ND ST,T035,GRAVID,09/02/2015 12:09:00 AM,4,negative,CULEX PIPIENS/RESTUANS,41.763370922,-87.637872614,"(41.76337092198238, -87.6378726141474)"
2008,28,24556,131XX S BRANDON AVE,T209,GRAVID,07/14/2008 12:07:00 AM,2,negative,CULEX RESTUANS,41.657068876,-87.546048865,"(41.657068875649955, -87.54604886505916)"
2010,28,29139,100XX W OHARE AIRPORT,T901,GRAVID,07/19/2010 12:07:00 AM,34,negative,CULEX PIPIENS/RESTUANS,,,
2007,34,22879,115XX S AVENUE L,T103,GRAVID,08/28/2007 12:08:00 AM,50,negative,CULEX PIPIENS/RESTUANS,,,
2009,36,28058,77XX S EBERHART AVE,T080,GRAVID,09/14/2009 12:09:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.754148414,-87.612721023,"(41.75414841411549, -87.61272102258191)"
2014,36,39980,36XX N PITTSBURGH AVE,T011,GRAVID,09/05/2014 12:09:00 AM,2,positive,CULEX RESTUANS,41.945961094,-87.832942473,"(41.94596109447193, -87.83294247349616)"
2009,26,26850,11XX W ROOSEVELT RD,T048,GRAVID,07/06/2009 12:07:00 AM,18,negative,CULEX RESTUANS,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2015,36,42133,48XX W MONTANA ST,T222,GRAVID,09/10/2015 12:09:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.925286783,-87.747459124,"(41.92528678345797, -87.74745912379434)"
2009,35,27971,50XX S UNION AVE,T082,GRAVID,09/03/2009 12:09:00 AM,1,negative,CULEX RESTUANS,41.802359309,-87.643075919,"(41.802359308973436, -87.64307591923095)"
2010,30,29410,5XX S CENTRAL AVE,T031,GRAVID,07/29/2010 12:07:00 AM,10,negative,CULEX RESTUANS,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)"
2012,39,35392,131XX S TORRENCE AVE,T200,GRAVID,09/28/2012 12:09:00 AM,1,negative,CULEX PIPIENS,41.656676999,-87.559440719,"(41.65667699900608, -87.5594407188114)"
2010,27,28845,70XX W ARMITAGE AVE,T151,GRAVID,07/13/2010 12:07:00 AM,16,negative,CULEX PIPIENS/RESTUANS,41.916134719,-87.801092809,"(41.91613471854847, -87.80109280863755)"
2014,25,38215,5XX S CENTRAL AVE,T031,GRAVID,06/19/2014 12:06:00 AM,1,negative,CULEX TARSALIS,41.872872862,-87.764736532,"(41.87287286249572, -87.7647365320396)"
2015,25,40889,42XX W 65TH ST,T235,GRAVID,06/25/2015 12:06:00 AM,10,negative,CULEX RESTUANS,41.774841115,-87.728005819,"(41.7748411153277, -87.72800581922763)"
2008,34,25551,67XX S KEDZIE AVE,T066,GRAVID,08/25/2008 12:08:00 AM,3,negative,CULEX PIPIENS,41.771198588,-87.703106608,"(41.77119858797388, -87.70310660774493)"
2013,27,36021,71XX S SOUTH SHORE DR,T079,GRAVID,07/08/2013 12:07:00 AM,1,negative,CULEX RESTUANS,41.765752525,-87.562465208,"(41.76575252485466, -87.56246520793836)"
2010,35,30307,40XX S DEARBORN ST,T081,GRAVID,09/02/2010 12:09:00 AM,1,negative,CULEX PIPIENS/RESTUANS,41.820051649,-87.627347571,"(41.820051649277865, -87.62734757080052)"
2014,29,38708,3XX W 104TH ST,T095,GRAVID,07/17/2014 12:07:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.705327644,-87.632955365,"(41.70532764418326, -87.63295536539816)"
2013,28,36160,127XX S DOTY AVE,T115,GRAVID,07/12/2013 12:07:00 AM,50,negative,CULEX RESTUANS,41.662386728,-87.590179728,"(41.66238672759086, -87.59017972751752)"
2010,28,29061,9XX W GARFIELD BLVD,T226,GRAVID,07/16/2010 12:07:00 AM,2,negative,CULEX SALINARIUS,41.794366478,-87.648925137,"(41.79436647814991, -87.64892513653469)"
2013,31,36667,5XX W 72ND ST,T035,GRAVID,08/01/2013 12:08:00 AM,1,negative,CULEX RESTUANS,41.763370922,-87.637872614,"(41.76337092198238, -87.6378726141474)"
2011,28,31412,25XX S MILLARD AVE,T152,GRAVID,07/15/2011 12:07:00 AM,5,negative,CULEX RESTUANS,41.845715402,-87.715898597,"(41.845715401799, -87.7158985974353)"
2015,26,40971,39XX N SPRINGFIELD AVE,T228,GRAVID,07/02/2015 12:07:00 AM,2,negative,CULEX PIPIENS/RESTUANS,41.953664152,-87.724987191,"(41.95366415238544, -87.72498719138876)"
2011,31,31851,41XX N OAK PARK AVE,T002,GRAVID,08/05/2011 12:08:00 AM,3,negative,CULEX RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2007,26,20396,41XX N OAK PARK AVE,T002,GRAVID,07/27/2007 11:07:17 AM,11,negative,CULEX RESTUANS,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2009,26,26843,25XX W GRAND AVE,T046,GRAVID,07/06/2009 12:07:00 AM,1,negative,CULEX PIPIENS,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2010,27,28988,100XX W OHARE AIRPORT,T916,GRAVID,07/12/2010 12:07:00 AM,10,negative,CULEX RESTUANS,,,
2007,28,20725,1XX N CENTRAL PARK DR,T030,CDC,07/18/2007 12:07:00 AM,10,negative,CULEX PIPIENS/RESTUANS,41.883771777,-87.716168365,"(41.8837717767951, -87.71616836510131)"
2007,33,22410,3XX W 18TH ST,T043,GRAVID,08/21/2007 12:08:00 AM,1,negative,CULEX RESTUANS,41.857837294,-87.635861986,"(41.857837293807705, -87.63586198559554)"
2016,25,42620,100XX W OHARE AIRPORT,T902,GRAVID,06/22/2016 12:06:00 AM,43,negative,CULEX PIPIENS/RESTUANS,,,
2012,30,34144,100XX W OHARE,T903,GRAVID,07/27/2012 12:07:00 AM,48,positive,CULEX PIPIENS/RESTUANS,,,
2013,31,36702,6XX E 91ST PL,T227,GRAVID,08/01/2013 12:08:00 AM,21,positive,CULEX PIPIENS/RESTUANS,41.728490034,-87.608524308,"(41.728490033986375, -87.60852430813071)"
